Time,chan1,chan2,chan3,chan4,chan5,chan6,chan7,chan8,Sample_rate
0.44400000000000034, 119939.99, -75480.20, 119338.95, 120762.56, 119220.96, 119534.33, 118994.45, 120014.54,250
0.44800000000000034, 119954.81, -75549.12, 119377.78, 120776.71, 119244.95, 119548.14, 119199.32, 120033.18,250
0.45200000000000035, 119714.93, -73535.94, 119150.64, 120538.15, 119008.69, 119309.79, 119102.05, 119797.26,250
0.45600000000000035, 119679.93, -73269.62, 119092.13, 120503.08, 118964.54, 119274.85, 118893.82, 119757.80,250
0.46000000000000035, 119925.06, -75207.49, 119321.97, 120746.91, 119205.27, 119519.00, 118974.17, 119999.20,250
0.46400000000000036, 119998.71, -75762.84, 119417.68, 120819.63, 119286.90, 119592.18, 119200.46, 120076.74,250
0.46800000000000036, 119770.05, -73861.36, 119208.48, 120592.28, 119063.91, 119365.13, 119156.95, 119853.27,250
0.47200000000000036, 119678.73, -73109.70, 119097.24, 120501.73, 118964.97, 119274.11, 118935.38, 119758.36,250
0.47600000000000037, 119903.85, -74890.95, 119301.00, 120726.26, 119183.70, 119497.98, 118959.11, 119978.33,250
0.48000000000000037, 120033.18, -75892.80, 119447.43, 120855.01, 119319.93, 119626.84, 119193.65, 120110.25,250
0.4840000000000004, 119832.59, -74224.11, 119269.71, 120655.52, 119126.84, 119427.53, 119207.44, 119914.89,250
0.4880000000000004, 119688.24, -73024.63, 119110.50, 120511.84, 118976.41, 119283.63, 118983.23, 119767.66,250
0.4920000000000004, 119878.39, -74545.21, 119277.06, 120701.38, 119158.69, 119473.13, 118950.52, 119952.64,250
0.4960000000000004, 120056.67, -75933.16, 119465.55, 120877.31, 119341.62, 119650.45, 119179.23, 120131.59,250
0.5000000000000003, 119896.05, -74605.56, 119330.66, 120717.74, 119190.12, 119490.61, 119248.72, 119976.52,250
0.5040000000000003, 119708.14, -73037.02, 119134.70, 120531.64, 118998.36, 119303.57, 119037.43, 119787.42,250
0.5080000000000003, 119851.70, -74193.26, 119250.95, 120674.52, 119132.65, 119446.02, 118948.73, 119924.95,250
0.5120000000000003, 120066.55, -75878.42, 119470.47, 120887.95, 119350.04, 119659.97, 119157.21, 120141.31,250
0.5160000000000003, 119958.52, -74973.02, 119390.48, 120781.02, 119251.52, 119552.88, 119281.17, 120040.17,250
0.5200000000000004, 119736.97, -73136.90, 119168.27, 120560.95, 119028.45, 119332.70, 119094.78, 119818.51,250
0.5240000000000004, 119827.81, -73864.78, 119230.34, 120650.09, 119109.47, 119421.84, 118958.80, 119902.33,250
0.5280000000000004, 120069.72, -75756.01, 119470.18, 120890.57, 119351.90, 119662.85, 119136.76, 120143.73,250
0.5320000000000004, 120018.70, -75325.09, 119446.51, 120840.03, 119310.61, 119612.25, 119304.29, 120098.49,250
0.5360000000000004, 119778.32, -73334.04, 119212.11, 120601.47, 119071.36, 119373.20, 119154.75, 119859.51,250
0.5400000000000004, 119806.20, -73571.13, 119213.00, 120629.01, 119089.48, 119400.71, 118976.84, 119881.50,250
0.5440000000000004, 120058.63, -75544.06, 119456.08, 120880.24, 119339.96, 119652.26, 119111.08, 120131.48,250
0.5480000000000004, 120070.93, -75608.38, 119493.83, 120892.76, 119361.58, 119664.33, 119315.13, 120149.74,250
0.5520000000000004, 119831.81, -73594.59, 119267.59, 120654.91, 119125.80, 119426.98, 119218.48, 119914.96,250
0.5560000000000004, 119797.41, -73331.40, 119209.18, 120620.65, 119082.49, 119392.58, 119010.52, 119875.95,250
0.5600000000000004, 120044.94, -75270.70, 119440.77, 120867.10, 119325.45, 119638.58, 119092.99, 120119.27,250
0.5640000000000004, 120118.38, -75822.19, 119536.39, 120939.98, 119407.24, 119711.83, 119320.09, 120196.57,250
0.5680000000000004, 119892.38, -73920.16, 119328.65, 120715.53, 119186.98, 119486.95, 119277.87, 119975.38,250
0.5720000000000004, 119798.73, -73172.45, 119215.13, 120622.26, 119085.58, 119393.65, 119053.23, 119877.23,250
0.5760000000000004, 120022.52, -74961.31, 119417.86, 120844.61, 119302.74, 119616.20, 119076.79, 120095.47,250
